Year,Task,Volume
2020,screening,269
2020,grading,157
2020,oculomic,19
2020,prognosis,65
2020,others,7
2021,screening,420
2021,grading,264
2021,oculomic,20
2021,prognosis,92
2021,others,10
2022,screening,539
2022,grading,320
2022,oculomic,36
2022,prognosis,120
2022,others,11
2023,screening,636
2023,grading,388
2023,oculomic,27
2023,prognosis,113
2023,others,13
2024,screening,672
2024,grading,427
2024,oculomic,58
2024,prognosis,185
2024,others,13
2025,screening,330
2025,grading,200
2025,oculomic,33
2025,prognosis,91
2025,others,6
